,Unnamed: 0,ticker,ep,roa,sector,price,currency,roa_place,ep_place,total_place
753,1229,ANDE,1.7611808116090937,4.02393381676841,Consumer Defensive,39.37,USD,989,859,1848
647,1062,AVB,1.4872142125729046,5.707269361331626,Real Estate,237.22,USD,946,905,1851
1098,1761,KIM,1.7859808311194223,3.847837073653512,Real Estate,24.27,USD,996,856,1852
632,1039,ANIP,0.9772616473516768,7.252363238159654,Healthcare,39.49,USD,907,954,1861
810,1317,PEAK,1.3574273977782725,5.851308727829966,Real Estate,32.0185,USD,941,921,1862
1063,1704,DXCM,0.8942640139417252,7.369114388934353,Healthcare,413.63,USD,904,959,1863
289,488,VTR,1.4628156274823974,5.47296291788212,Real Estate,52.08,USD,956,908,1864
774,1260,PLD,1.4131555654141712,5.539526914461555,Real Estate,144.23,USD,952,914,1866
89,121,CSGP,1.442714021905479,5.377913348800657,Real Estate,66.585,USD,958,910,1868
454,776,SLG,1.7114173352678526,3.3096322406613887,Real Estate,80.85,USD,1001,868,1869
462,945,SLG,1.7114725084333833,3.3096322406613887,Real Estate,80.845,USD,1001,868,1869
455,776,SLG,1.7114173352678526,3.3096322406613887,Real Estate,80.85,USD,1001,869,1870
458,776,SLG,1.7114173352678526,3.3096322406613887,Real Estate,80.85,USD,1002,868,1870
463,945,SLG,1.7114725084333833,3.3096322406613887,Real Estate,80.845,USD,1001,869,1870
466,945,SLG,1.7114725084333833,3.3096322406613887,Real Estate,80.845,USD,1002,868,1870
825,1339,DRE,1.407812144899658,5.483818820076179,Real Estate,53.92,USD,955,916,1871
456,776,SLG,1.7114173352678526,3.3096322406613887,Real Estate,80.85,USD,1001,870,1871
467,945,SLG,1.7114725084333833,3.3096322406613887,Real Estate,80.845,USD,1002,869,1871
459,776,SLG,1.7114173352678526,3.3096322406613887,Real Estate,80.85,USD,1002,869,1871
522,869,MSGS,-1.6950923770621364,10.284846346069472,Communication Services,180.95,USD,835,1036,1871
464,945,SLG,1.7114725084333833,3.3096322406613887,Real Estate,80.845,USD,1001,870,1871
460,776,SLG,1.7114173352678526,3.3096322406613887,Real Estate,80.85,USD,1002,870,1872
468,945,SLG,1.7114725084333833,3.3096322406613887,Real Estate,80.845,USD,1002,870,1872
457,776,SLG,1.7114173352678526,3.3096322406613887,Real Estate,80.85,USD,1001,871,1872
465,945,SLG,1.7114725084333833,3.3096322406613887,Real Estate,80.845,USD,1001,871,1872
461,776,SLG,1.7114173352678526,3.3096322406613887,Real Estate,80.85,USD,1002,871,1873
469,945,SLG,1.7114725084333833,3.3096322406613887,Real Estate,80.845,USD,1002,871,1873
264,447,F,1.17064736684536,5.844703638497652,Consumer Cyclical,18.02,USD,942,938,1880
848,1375,STAA,0.8772953684035886,6.455295655901379,Healthcare,74.3,USD,924,961,1885
628,1029,FLR,1.6234706530165763,3.3696479335659077,Industrials,21.47,USD,999,886,1885
941,1506,AIRC,0.7691825457961152,6.591736448714708,Real Estate,52.75,USD,920,968,1888
216,358,TRNO,1.4133787533812467,4.559849525021488,Real Estate,68.5388,USD,976,913,1889
1055,1689,SLP,1.46095572267353,4.395342569554842,Healthcare,39.32,USD,980,909,1889
940,1505,CPT,1.1127039596037251,5.62747296020492,Real Estate,164.35,USD,950,942,1892
